"id","nombre","descripcion","tipo_capa","fecha_registro","id_categoria","id_institucion","usuario_registro","fecha_registro-2"
80,"Agencias",NULL,1,NULL,6,95,1,"2026-02-18 10:17:21.177581-05"
81,"Cajeros Automáticos (ATM)",NULL,1,NULL,6,95,1,"2026-02-18 10:17:21.177581-05"
82,"Agentes BN",NULL,1,NULL,6,95,1,"2026-02-18 10:17:21.177581-05"
83,"Pensionistas de las Fuerzas Armadas - Fuerza Aérea del Perú",NULL,1,NULL,17,199,1,"2026-02-18 10:17:21.177581-05"
84,"Pensionistas de las Fuerzas Armadas - Marina de Guerra del Perú",NULL,1,NULL,17,199,1,"2026-02-18 10:17:21.177581-05"
85,"Pensionistas de las Fuerzas Armadas - Ejército Peruano",NULL,1,NULL,17,199,1,"2026-02-18 10:17:21.177581-05"
86,"Pensionistas de la Policia Nacional del Perú",NULL,1,NULL,17,199,1,"2026-02-18 10:17:21.177581-05"
87,"Estadísticas por catálogo - 2023",NULL,1,NULL,6,94,1,"2026-02-18 10:17:21.177581-05"
88,"Estadísticas por catálogo - 2023",NULL,1,NULL,6,94,1,"2026-02-18 10:17:21.177581-05"
89,"Acceso a internet",NULL,1,NULL,20,46,1,"2026-02-18 10:17:21.177581-05"
90,"Cartografía de peligros",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
91,"Cartografía de riesgos",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
92,"Elementos Expuestos",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
93,"Imágenes",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
94,"Información Complementaria",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
95,"Información de CENEPRED",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
96,"Servicios REST",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
97,"Heladas y friaje sector MIMP",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
98,"Heladas y friaje sector Salud",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
99,"Heladas y friaje sector Vivienda",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
100,"Heladas y friaje sector Educación",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
101,"Heladas y friaje sector Agricultura Pecuaria",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
102,"Heladas y friaje sector Agricultura Agrícola",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
103,"Riesgos por friaje",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
104,"Inundaciones por lluvias fuertes",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
105,"Inundaciones por lluvias asociadas a eventos EL Niño",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
106,"Movimientos en masa por lluvias fuertes",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
107,"Riesgos por heladas",NULL,1,NULL,12,188,1,"2026-02-18 10:17:21.177581-05"
108,"Oficinas Regionales PROMPERÚ",NULL,1,NULL,17,207,1,"2026-02-18 10:17:21.177581-05"
109,"Puntos de atención IPERÚ",NULL,1,NULL,17,207,1,"2026-02-18 10:17:21.177581-05"
110,"Ciudad de Jaén - Cajamarca",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
111,"Ciudad de Tumbes",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
112,"Departamento de Tumbes",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
113,"Provincia Contralmirante Villar - Tumbes",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
114,"Provincia de Tumbes",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
115,"Provincia de Zarumilla - Tumbes",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
116,"Luya - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
117,"Chachapoyas - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
118,"Corongo - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
119,"Recuay - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
120,"Huaraz - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
121,"Huari - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
122,"Huari - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
123,"Abancay - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
124,"Abancay - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
125,"Huamalies - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
126,"Huamalies - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
127,"Cajamarca - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
128,"Cajamarca - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
129,"Luya - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
130,"Chachapoyas - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
131,"Huaraz - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
132,"Corongo - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
133,"Pomabamba - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
134,"Pomabamba - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
135,"Huantar - Color verdadero",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
136,"Huantar - Falso color",NULL,1,NULL,12,195,1,"2026-02-18 10:17:21.177581-05"
