"id","id_capa","id_tipo_servicio","direccion_web","nombre_capa","titulo_capa","estado","id_layer","usuario_registro","fecha_registro"
1426,1206,11,"https://geomininter.mininter.gob.pe/arcgis/services/ogc/puestos_fronterizos/MapServer/WMSServer?request=GetCapabilities&service=WMS","0","Puestos Vigilancia Frontera",True,41335,1,"2026-02-18 11:14:23.709268-05"
1427,1771,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_08_03/08_03_033_03_001_522_2013_12_31/ows?service=WMS&request=GetCapabilities","08_03_033_03_001_522_2013_12_31","EROSION HIDRICA DEL SUELO 2013 - PERU",True,41853,1,"2026-02-18 11:14:23.709268-05"
1428,155,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20241119165442___3_Por_Deficiencia_Mental_Set2024/wms?service=WMS&request=GetCapabilities","20241119165442___3_Por_Deficiencia_Mental_Set2024","20241119165442___3_Por_Deficiencia_Mental_Set2024",True,40442,1,"2026-02-18 11:14:23.709268-05"
1429,1488,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20260119103743___local_pge_dic25/wms?service=WMS&request=GetCapabilities","20260119103743___local_pge_dic25","20260119103743___local_pge_dic25",True,42123,1,"2026-02-18 11:14:23.709268-05"
1430,1344,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_vraem_ambito_/wms?service=WMS&request=GetCapabilities","peru_vraem_ambito_","vw_peru_vraem_ambito",True,1205,1,"2026-02-18 11:14:23.709268-05"
1431,362,11,"https://www.idep.gob.pe/geoportal/services/DATOS_GEOESPACIALES/CENTROS_POBLADOS/MapServer/WMSServer?request=GetCapabilities&service=WMS","0","Centros Poblados",True,42253,1,"2026-02-18 11:14:23.709268-05"
1432,1424,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250619122622___Casos_al_24_de_marzo_del_2024/wms?service=WMS&request=GetCapabilities","20250619122622___Casos_al_24_de_marzo_del_2024","20250619122622___Casos_al_24_de_marzo_del_2024",True,41102,1,"2026-02-18 11:14:23.709268-05"
1433,2007,12,"https://pifa.oefa.gob.pe/server_gis/services/Metadatos/Unidades_Menores_Pto/MapServer/WFSServer?request=GetCapabilities&service=WFS","Unidades_Menores_Pto:Grifos_y_EESS__Gasocentros","Grifos_y_EESS__Gasocentros",True,41993,1,"2026-02-18 11:14:23.709268-05"
1434,1784,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_08_01/08_01_001_03_001_532_0000_00_00/ows?service=WMS&request=GetCapabilities","08_01_001_03_001_532_0000_00_00","FRECUENCIA DE HELADAS 01 ENERO - PERU",True,41838,1,"2026-02-18 11:14:23.709268-05"
1435,1680,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_05_97/05_97_009_04_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","05_97_009_04_001_512_0000_00_00","SAN MARTIN - TEMP MAXIMA - 09 MES DE SEPTIEMBRE",True,41755,1,"2026-02-18 11:14:23.709268-05"
1436,713,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_04_dist_minedu_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_04_dist_minedu_","SECTORES GOBIERNO NACIONAL | MINEDU | Actividades y Proyectos - Distrital",True,670,1,"2026-02-18 11:14:23.709268-05"
1437,1274,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_05_04/05_04_012_03_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","05_04_012_03_001_512_0000_00_00","CARACTERIZACION DE TEMP MAXIMA - 12 MES DE DICIEMBRE",True,41625,1,"2026-02-18 11:14:23.709268-05"
1438,1380,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250618172655___Casos_al_17_de_febrero_del_2025/wms?service=WMS&request=GetCapabilities","20250618172655___Casos_al_17_de_febrero_del_2025","20250618172655___Casos_al_17_de_febrero_del_2025",True,41072,1,"2026-02-18 11:14:23.709268-05"
