n_documento,f_documento,f_recepcion,url_documento,usuario_registro,fecha_registro
G-0330-2021-EU,2021-03-15,2023-03-25,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/b05dea08-df24-4c5b-828b-bf76886bdb55/G-0330-2021-EU.pdf,1,2026-03-27
OFICIO N° 172-2022-ELPU-GG,2022-04-22,2023-03-05,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/5450b45b-8c8d-4cc4-942d-01b728c51816/OFICIO%20N%c2%b0%20172-2022-ELPU-GG.pdf,1,2026-03-27
OFICIO N°202-2021-GG-ADINELSA,2021-09-13,2021-02-10,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/50d470d7-4f89-443b-ab62-c31882e4cc21/OFICIO%20N%c2%b0202-2021-GG-ADINELSA.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA GENERAL N° 025-2025-GG-ADINELSA,2025-04-02,2026-02-11,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/1955514e-d747-4309-9c2e-b2b33636894b/RESOLUCI%c3%93N%20DE%20GERENCIA%20GENERAL%20N%c2%b0%20025-2025-GG-ADINELSA.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA GENERAL N° GG-166-2025-SAN GABÁN S.A.,2025-12-10,2026-02-11,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/7db429bb-0d5d-49ee-a84c-092b57497f81/RESOLUCI%c3%93N%20DE%20GERENCIA%20GENERAL%20N%c2%b0%20GG-166-2025-SAN%20GAB%c3%81N%20S.A..pdf,1,2026-03-27
ENOSA-R-0464-2024,2024-09-20,2024-09-20,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/fda82092-d5f9-4b12-a5ae-040b4b44a89a/ENOSA-R-0464-2024.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA GENERAL N° 000245-2023-SALUDPOL-GG,2023-09-28,2024-12-26,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/76421232-63f8-4127-86d0-5d2b8a92176c/RESOLUCI%c3%93N%20DE%20GERENCIA%20GENERAL%20N%c2%b0%20000245-2023-SALUDPOL-GG.pdf,1,2026-03-27
OFICIO N° 000977-2025-SALUDPOL-GG,2025-09-26,2025-11-12,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/88760bb7-2bef-42a4-8881-c8fb7c7f9020/OFICIO%20N%c2%b0%20000977-2025-SALUDPOL-GG.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA REGIONAL N° 194-2024,2024-09-18,2024-09-18,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/44e210ff-325c-425e-b968-e86314254a6c/RESOLUCI%c3%93N%20DE%20GERENCIA%20REGIONAL%20N%c2%b0%20194-2024.pdf,1,2026-03-27
RESOLUCIÓN DE GERENCIA REGIONAL N° GR-0162-2024,2024-06-25,2023-06-05,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/b95ae02c-4de4-4ed5-aec6-36a4ab5698bd/RESOLUCI%c3%93N%20DE%20GERENCIA%20REGIONAL%20N%c2%b0%20GR-0162-2024.pdf,1,2026-03-27
OFICIO N° 0235-2025-GM-MDP,2025-06-27,2025-07-01,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/cf29f79a-7ff8-4c9e-ab47-50344b7d0509/OFICIO%20N%c2%b0%200235-2025-GM-MDP.pdf,1,2026-03-27
